item_number,subdomain,item_stem,option_A,option_B,progressive_position,conservative_position,coding_higher_theta,contrast_note
1,Taxation & Wealth Inequality,The government is considering a new tax bracket that applies a higher rate only to annual incomes above $1 million. Which outcome would you prefer?,Implement the higher tax rate on incomes above $1 million to fund public services.,Keep the current rates; higher taxes on top earners may reduce investment and job creation.,A,B,B,High earner tax rate vs. investment incentive concern
2,Taxation & Wealth Inequality,A city is deciding how to fund road repairs. Which approach do you prefer?,Raise property taxes on higher-value homes so wealthier residents contribute more.,Charge all drivers a flat toll based on road use regardless of income or property value.,A,B,B,Progressive property tax vs. flat usage fee
3,Taxation & Wealth Inequality,"When a person dies and leaves assets to heirs, some argue those assets should be taxed (an ""estate"" or ""inheritance"" tax). What is your preference?",Large inherited estates should be taxed to limit the concentration of inherited wealth.,Families should be able to pass on what they earned without government taxation at death.,A,B,B,Estate taxation vs. family wealth transfer
4,Taxation & Wealth Inequality,A state needs to raise additional revenue. Which of these two options would you support?,A modest increase in income taxes scaled so higher earners pay a larger percentage.,A modest increase in the general sales tax applied equally to all purchases.,A,B,B,Progressive income tax vs. flat consumption tax
5,Taxation & Wealth Inequality,"Some economists propose a tax on net financial wealth (such as stocks and savings) held above a high threshold, in addition to taxing income. Which is closer to your view?",A wealth tax on very large fortunes is a fair way to reduce extreme inequality.,Taxing accumulated assets on top of income amounts to double taxation and discourages saving.,A,B,B,Wealth tax fairness vs. double taxation concern
6,Government Spending & Debt,The federal government is running a budget deficit (spending more than it takes in). What should policymakers prioritize?,Maintain current spending on social programs even if it means carrying the deficit longer.,Cut government spending to reduce the deficit even if some programs are scaled back.,A,B,B,Deficit tolerance for programs vs. spending cuts
7,Government Spending & Debt,A recession has led to rising unemployment. Which response do you favor?,Increase government spending on public projects and aid to stimulate the economy.,Avoid adding to the national debt; let the private sector lead the economic recovery.,A,B,B,Government stimulus vs. private sector recovery
8,Government Spending & Debt,A proposal would expand free public transit in major cities funded by the federal government. Which do you prefer?,Federal funding for expanded public transit is a worthwhile public investment.,Transit systems should be locally funded or run by private operators not the federal government.,A,B,B,Federal transit investment vs. local/private control
9,Government Spending & Debt,"The government is reviewing spending on defense versus domestic social programs. If cuts are necessary, which priority do you support?",Protect social program funding and reduce military spending if cuts are needed.,Protect defense spending and reduce domestic program spending if cuts are needed.,A,B,B,Social spending priority vs. defense spending priority
10,Government Spending & Debt,A proposal would provide government subsidies (direct financial support) to help lower-income families afford housing in expensive cities. What is your preference?,Government housing subsidies are an important tool for ensuring basic affordability.,Housing affordability is better addressed by reducing zoning restrictions and increasing private construction.,A,B,B,Direct housing subsidy vs. deregulation and private supply
11,Labor Markets & Worker Rights,A proposal would raise the national minimum wage significantly above its current level. Which outcome do you prefer?,Raise the minimum wage to ensure all full-time workers earn a living wage.,Keep the minimum wage lower; significant increases can lead businesses to cut jobs or hours.,A,B,B,Living wage floor vs. employment effects concern
12,Labor Markets & Worker Rights,Workers at a company want to form a union (a collective organization that negotiates wages and conditions on their behalf). Which best reflects your view?,Workers should have strong legal protections to organize and collectively bargain with employers.,Workers and employers should be free to negotiate individual contracts without mandatory union processes.,A,B,B,Collective bargaining protections vs. individual contract freedom
13,Labor Markets & Worker Rights,A bill would require employers to provide a minimum of two weeks of paid family leave per year. What is your preference?,A federal paid leave requirement protects workers who cannot negotiate this benefit on their own.,Leave policies are better determined by employers and market competition not federal mandates.,A,B,B,Federal leave mandate vs. employer-market determination
14,Labor Markets & Worker Rights,"Some states have ""right-to-work"" laws which mean workers in a unionized workplace cannot be required to join the union or pay dues. What is your view?",Right-to-work laws weaken unions and should not be encouraged at the federal level.,No worker should be compelled to join a union or pay dues as a condition of employment.,A,B,B,Union strength protection vs. individual opt-out right
15,Labor Markets & Worker Rights,A proposal would limit the ratio between the highest and lowest paid employees within a single company. What is your preference?,Caps on pay ratios within companies would help reduce extreme income inequality.,Pay levels within a company should be determined by the market and individual performance not government rules.,A,B,B,Pay ratio cap vs. market-determined compensation
16,Healthcare & Public Services,"A proposal would replace private health insurance with a single government-run insurance program covering all residents (sometimes called ""single-payer"" or ""Medicare for All""). What is your preference?",A single government insurance program would ensure everyone has coverage regardless of employment or income.,A competitive private insurance market with government support for those in need is preferable to a government monopoly.,A,B,B,Universal government coverage vs. private market with targeted aid
17,Healthcare & Public Services,Prescription drug prices in the U.S. are among the highest in the world. Which approach do you prefer?,Allow the government to directly negotiate drug prices with pharmaceutical companies.,Encourage more competition among drug manufacturers rather than having the government set prices.,A,B,B,Government price negotiation vs. market competition
18,Healthcare & Public Services,A proposal would make public four-year universities tuition-free for all students funded by the federal government. Which best reflects your view?,Free public college would expand opportunity and reduce the burden of student debt.,Tuition-free college for all is an inefficient subsidy; aid should be targeted to those who cannot afford it.,A,B,B,Universal free tuition vs. means-tested aid
19,Healthcare & Public Services,Should the government provide free broadband internet access in underserved rural and low-income areas?,Internet access is a basic utility and the government should ensure universal access.,Private providers with incentive-based contracts can extend service more efficiently than government programs.,A,B,B,Public utility model vs. private incentive model
20,Healthcare & Public Services,A town is deciding whether to expand its public library system or offer vouchers residents can use at private libraries. Which do you prefer?,Expand the publicly funded library system to serve the whole community.,Vouchers for private libraries give residents more choice and may be more cost-effective.,A,B,B,Public institution expansion vs. voucher and private choice
21,Corporate Regulation,"Several large technology companies control the dominant platforms for online search, social media, and e-commerce. What is your preference?",The government should break up or impose strict rules on dominant tech companies to protect competition.,Large tech companies succeed because they provide value; heavy regulation risks harming innovation.,A,B,B,Antitrust intervention vs. innovation protection
22,Corporate Regulation,A proposal would require companies above a certain size to include workers on their board of directors (a practice called co-determination). What is your view?,Workers should have a formal voice in major company decisions not just shareholders.,Board composition should be determined by shareholders who bear the financial risk of the company.,A,B,B,Worker board representation vs. shareholder governance
