item_id,item_name,category,disc_label,item_stem,option_A,option_B,a_true,b_true
1,Tax bracket >$1M,Taxation & Wealth Inequality,High,The government is considering a new tax bracket that applies a higher rate only to annual incomes above $1 million. Which outcome would you prefer?,Implement the higher tax rate on incomes above $1 million to fund public services.,Keep the current rates; higher taxes on top earners may reduce investment and job creation.,2.0,-1.2
2,Road repair funding,Taxation & Wealth Inequality,Moderate,A city is deciding how to fund road repairs. Which approach do you prefer?,Raise property taxes on higher-value homes so wealthier residents contribute more.,Charge all drivers a flat toll based on road use regardless of income or property value.,1.2,0.1
3,Estate/inheritance tax,Taxation & Wealth Inequality,High,"When a person dies and leaves assets to heirs, some argue those assets should be taxed (an ""estate"" or ""inheritance"" tax). What is your preference?",Large inherited estates should be taxed to limit the concentration of inherited wealth.,Families should be able to pass on what they earned without government taxation at death.,2.2,-1.5
4,Income vs. sales tax,Taxation & Wealth Inequality,Low,A state needs to raise additional revenue. Which of these two options would you support?,A modest increase in income taxes scaled so higher earners pay a larger percentage.,A modest increase in the general sales tax applied equally to all purchases.,0.6,0.2
5,Wealth tax,Taxation & Wealth Inequality,Moderate,"Some economists propose a tax on net financial wealth (such as stocks and savings) held above a high threshold, in addition to taxing income. Which is closer to your view?",A wealth tax on very large fortunes is a fair way to reduce extreme inequality.,Taxing accumulated assets on top of income amounts to double taxation and discourages saving.,1.1,-0.8
6,Deficit spending,Government Spending & Debt,High,The federal government is running a budget deficit (spending more than it takes in). What should policymakers prioritize?,Maintain current spending on social programs even if it means carrying the deficit longer.,Cut government spending to reduce the deficit even if some programs are scaled back.,2.1,0.3
7,Recession stimulus,Government Spending & Debt,Low,A recession has led to rising unemployment. Which response do you favor?,Increase government spending on public projects and aid to stimulate the economy.,Avoid adding to the national debt; let the private sector lead the economic recovery.,0.5,0.0
8,Public transit funding,Government Spending & Debt,Moderate,A proposal would expand free public transit in major cities funded by the federal government. Which do you prefer?,Federal funding for expanded public transit is a worthwhile public investment.,Transit systems should be locally funded or run by private operators not the federal government.,1.0,0.2
9,Defense vs. social cuts,Government Spending & Debt,Moderate,"The government is reviewing spending on defense versus domestic social programs. If cuts are necessary, which priority do you support?",Protect social program funding and reduce military spending if cuts are needed.,Protect defense spending and reduce domestic program spending if cuts are needed.,1.0,0.1
10,Housing subsidies,Government Spending & Debt,Low,A proposal would provide government subsidies (direct financial support) to help lower-income families afford housing in expensive cities. What is your preference?,Government housing subsidies are an important tool for ensuring basic affordability.,Housing affordability is better addressed by reducing zoning restrictions and increasing private construction.,0.6,0.3
11,Minimum wage increase,Labor Markets & Worker Rights,High,A proposal would raise the national minimum wage significantly above its current level. Which outcome do you prefer?,Raise the minimum wage to ensure all full-time workers earn a living wage.,Keep the minimum wage lower; significant increases can lead businesses to cut jobs or hours.,2.3,-1.0
12,Union organizing rights,Labor Markets & Worker Rights,Moderate,Workers at a company want to form a union (a collective organization that negotiates wages and conditions on their behalf). Which best reflects your view?,Workers should have strong legal protections to organize and collectively bargain with employers.,Workers and employers should be free to negotiate individual contracts without mandatory union processes.,1.3,-0.5
