item_number,subdomain,item_stem,option_A,option_B,progressive_position,conservative_position,coding_higher_theta,contrast_note
1,Taxation and wealth inequality,"When the government needs more revenue, which approach is better?",Raise tax rates more on higher-income households than on middle-income households.,Keep tax rates closer together across income levels to reduce differences in tax treatment.,A,B,"A=0, B=1",Medium
2,Taxation and wealth inequality,How should the government approach taxes on inherited wealth passed from one generation to the next?,Tax large inheritances more heavily to reduce concentrated wealth across generations.,Keep taxes on inherited wealth low because families should pass assets on with limited government interference.,A,B,"A=0, B=1",More extreme
3,Taxation and wealth inequality,"If income inequality increases, what is the better policy response?",Expand tax credits and transfers that move more money to lower- and middle-income households.,Focus on broad economic growth rather than using government to directly reduce income gaps.,A,B,"A=0, B=1",Medium
4,Taxation and wealth inequality,Which tax approach is preferable for investment income such as profits from selling stocks or property?,Tax investment income at rates closer to wages and salaries.,Tax investment income at lower rates to encourage private investment.,A,B,"A=0, B=1",Medium
5,Taxation and wealth inequality,Which approach to consumption taxes is better? A consumption tax is a tax paid when goods or services are purchased.,Rely less on consumption taxes because they can take a larger share of income from lower-income households.,Use broader consumption taxes because they are a simpler way to raise revenue.,A,B,"A=0, B=1",Moderate
6,Government spending and public debt,"If the economy weakens and unemployment rises, what should the government do?","Increase spending temporarily to support jobs and demand, even if borrowing rises in the short term.",Limit new spending and allow private markets to adjust with less government involvement.,A,B,"A=0, B=1",Medium
7,Government spending and public debt,Which budget priority is better during normal economic conditions?,Maintain strong public programs even if balanced budgets take longer to achieve.,Reduce government spending to limit deficits and keep public debt from growing.,A,B,"A=0, B=1",Medium
8,Government spending and public debt,"When infrastructure such as roads, bridges, and transit needs improvement, which is better?",Use public spending to fund major improvements because the benefits are shared widely.,Rely more on private companies and user fees so projects are paid for more directly by users.,A,B,"A=0, B=1",Moderate
9,Government spending and public debt,Which approach to social program spending is preferable when budgets are tight?,Protect spending on income support and essential services even if other areas must absorb cuts.,Reduce social program spending along with other areas to keep government from expanding too much.,A,B,"A=0, B=1",Medium
10,Government spending and public debt,How should governments generally view public debt?,Debt can be acceptable when it finances programs or investments that improve long-term public well-being.,Debt should be kept as low as possible because government borrowing usually creates more problems than benefits.,A,B,"A=0, B=1",More extreme
11,Labor markets and worker rights,Which minimum wage policy is better?,Raise the minimum wage so low-paid workers earn more through legal pay standards.,Keep the minimum wage lower so employers have more flexibility in hiring and pay decisions.,A,B,"A=0, B=1",Medium
12,Labor markets and worker rights,Which approach to labor unions is preferable? A labor union is an organization that negotiates with employers on behalf of workers.,Make it easier for workers to form unions because collective bargaining can improve pay and working conditions.,Avoid policies that strengthen unions because workers and employers should negotiate more directly and individually.,A,B,"A=0, B=1",Medium
13,Labor markets and worker rights,"If gig workers such as app-based drivers want greater protections, what is the better policy?",Require more gig workers to be treated as employees so they can receive benefits and labor protections.,Keep gig workers in more flexible work arrangements even if fewer benefits are required.,A,B,"A=0, B=1",Medium
14,Labor markets and worker rights,"Which approach to paid leave is better? Paid leave means workers continue receiving pay while away for illness, family care, or childbirth.",Require paid leave through national policy so access does not depend mainly on the employer.,Leave paid leave policies mostly to employers and private agreements rather than national rules.,A,B,"A=0, B=1",Moderate
15,Labor markets and worker rights,Which policy is better when factories or large employers close in a community?,Provide stronger public job training and relocation support funded by government.,Keep public support limited and let private labor markets adjust more on their own.,A,B,"A=0, B=1",Moderate
16,Healthcare and public services,Which healthcare system is preferable?,A larger public role where government guarantees basic health coverage for everyone.,A more market-based system where private insurance and competition play the larger role.,A,B,"A=0, B=1",More extreme
17,Healthcare and public services,How should prescription drug prices be handled?,Allow government to negotiate or cap prices to make medicines more affordable.,Limit government involvement in pricing so companies have stronger incentives to develop new drugs.,A,B,"A=0, B=1",Medium
18,Healthcare and public services,Which approach to higher education funding is better?,Increase public funding to reduce tuition costs at public colleges and universities.,Keep public funding more limited so students and institutions make more market-based choices.,A,B,"A=0, B=1",Medium
19,Healthcare and public services,Which childcare policy is better?,Expand public childcare support so families can access care at lower cost.,Keep childcare mainly as a family and private market responsibility with less public subsidy.,A,B,"A=0, B=1",Medium
20,Healthcare and public services,Which approach to public transportation is preferable?,Increase government funding so public transportation is widely available and affordable.,Limit public funding and rely more on private transportation choices and direct user payment.,A,B,"A=0, B=1",Moderate
21,Corporate regulation,Which approach to business regulation is better?,"Use stronger government rules when needed to prevent companies from harming workers, consumers, or communities.",Keep regulation lighter because markets work better when businesses face fewer government restrictions.,A,B,"A=0, B=1",Medium
22,Corporate regulation,How should government respond when a company becomes large enough to dominate a market?,"Use antitrust action, meaning steps to limit monopoly power, when market dominance reduces competition.",Intervene less because successful firms should not be penalized simply for becoming large.,A,B,"A=0, B=1",Medium
23,Corporate regulation,Which corporate tax policy is better?,Set corporate taxes high enough that large firms contribute more to public services and infrastructure.,"Keep corporate taxes lower to encourage investment, business growth, and job creation.",A,B,"A=0, B=1",Medium
24,Corporate regulation,Which environmental rule is preferable for businesses?,Require firms to meet stronger pollution standards even if compliance raises operating costs.,Use lighter standards so businesses can grow with fewer regulatory costs.,A,B,"A=0, B=1",More extreme
25,Corporate regulation,Which consumer finance policy is better? Consumer finance rules govern products such as loans and credit cards.,Use stronger rules to limit harmful lending practices and protect borrowers.,Use fewer rules so lenders and borrowers can make agreements with less government interference.,A,B,"A=0, B=1",Moderate
26,Trade and economic nationalism,Which trade policy is generally better?,"Keep trade open with fewer tariffs, which are taxes on imported goods, because open markets can lower costs and increase exchange.",Use more tariffs when needed to protect domestic industries from foreign competition.,A,B,"A=0, B=1",Moderate
27,Trade and economic nationalism,"If imports threaten jobs in a domestic industry, what should government usually do?",Help affected workers through retraining and income support while keeping trade relatively open.,Protect the domestic industry more directly with trade barriers or stronger buy-domestic rules.,A,B,"A=0, B=1",Medium
28,Trade and economic nationalism,Which approach to government purchasing is better?,Allow public agencies to choose lower-cost foreign suppliers when that saves money for taxpayers.,Prefer domestic suppliers even when they cost more in order to support national industry.,A,B,"A=0, B=1",Medium
29,Trade and economic nationalism,Which policy is better for supply chains involving key goods such as energy technology or medical products?,Accept more international sourcing while using public policy mainly to manage disruptions when needed.,Shift more production home even if it raises costs because national self-reliance is worth the tradeoff.,A,B,"A=0, B=1",Medium
